Wavlength (nm)	Coastal blue	Blue 475	green 531	Green 560	Red 650	Red 668	RedEdge 705	RedEdge 717	RedEdge 740	NIR
670	3.5813E-79	1.93403E-45	2.0046E-119	1.56747E-20	0.013139006	0.944987628	1.77636E-15	3.37649E-19	6.15947E-19	1.25734E-11
671	7.21594E-80	6.70944E-46	3.8726E-121	6.78916E-21	0.008427819	0.880458268	1.2033E-14	2.02361E-18	2.02361E-18	1.68346E-11
672	1.44369E-80	2.31504E-46	7.2726E-123	2.9183E-21	0.005290061	0.797451889	7.7114E-14	1.16698E-17	6.53545E-18	2.25014E-11
673	2.86802E-81	7.94471E-47	1.3277E-124	1.24491E-21	0.003249368	0.702123109	4.67532E-13	6.47554E-17	2.07488E-17	3.00246E-11
674	5.65742E-82	2.71173E-47	2.3561E-126	5.27042E-22	0.001953125	0.600945525	2.68168E-12	3.45752E-16	6.47554E-17	3.99948E-11
675	1.10811E-82	9.20583E-48	4.0646E-128	2.21436E-22	0.001148825	0.5	1.45519E-11	1.77636E-15	1.98667E-16	5.31848E-11
676	2.15515E-83	3.10834E-48	6.8164E-130	9.2331E-23	0.000661258	0.404406349	7.47052E-11	8.78156E-15	5.99163E-16	7.06043E-11
677	4.16197E-84	1.04386E-48	1.1112E-131	3.8207E-23	0.00037246	0.317964758	3.62827E-10	4.17724E-14	1.77636E-15	9.35693E-11
678	7.98084E-85	3.4866E-49	1.7611E-133	1.56905E-23	0.000205297	0.243026185	1.66711E-09	1.91198E-13	5.17705E-15	1.23792E-10
679	1.51959E-85	1.15827E-49	2.713E-135	6.39477E-24	0.000110733	0.180567762	7.24684E-09	8.42078E-13	1.48321E-14	1.63499E-10
680	2.87299E-86	3.82709E-50	4.0629E-137	2.58649E-24	5.84475E-05	0.130418866	2.98023E-08	3.5686E-12	4.17724E-14	2.15572E-10
681	5.39347E-87	1.25769E-50	5.9148E-139	1.03823E-24	3.01888E-05	0.0915701	1.1595E-07	1.45519E-11	1.15649E-13	2.83746E-10
682	1.00538E-87	4.11082E-51	8.3706E-141	4.1359E-25	1.52588E-05	0.0625	4.26781E-07	5.70976E-11	3.14749E-13	3.72843E-10
683	1.8609E-88	1.33638E-51	1.1516E-142	1.6351E-25	7.54721E-06	0.041468603	1.48614E-06	2.15572E-10	8.42078E-13	4.89081E-10
684	3.42013E-89	4.32097E-52	1.54E-144	6.4153E-26	3.65297E-06	0.026746802	4.89588E-06	7.83146E-10	2.21466E-12	6.40463E-10
685	6.24151E-90	1.38957E-52	2.0021E-146	2.49796E-26	1.73021E-06	0.016770166	1.52588E-05	2.73759E-09	5.72572E-12	8.37271E-10
686	1.13101E-90	4.44454E-53	2.5302E-148	9.65271E-27	8.01941E-07	0.010221531	4.49911E-05	9.20813E-09	1.45519E-11	1.09269E-09
687	2.03503E-91	1.41391E-53	3.1084E-150	3.70178E-27	3.63731E-07	0.006056303	0.000125502	2.98023E-08	3.63561E-11	1.4236E-09
688	3.63582E-92	4.47368E-54	3.7121E-152	1.40886E-27	1.6144E-07	0.003488288	0.000331202	9.28121E-08	8.92897E-11	1.85155E-09
689	6.45006E-93	1.40785E-54	4.3096E-154	5.32135E-28	7.01187E-08	0.001953125	0.0008269	2.78122E-07	2.15572E-10	2.40405E-09
690	1.1362E-93	4.40652E-55	4.8635E-156	1.99468E-28	2.98023E-08	0.001063068	0.001953125	8.01941E-07	5.11624E-10	3.11609E-09
691	1.98733E-94	1.37178E-55	5.3356E-158	7.42026E-29	1.23954E-08	0.000562477	0.004364403	2.22498E-06	1.19365E-09	4.03213E-09
692	3.45156E-95	4.24736E-56	5.6903E-160	2.73945E-29	5.045E-09	0.000289309	0.009226505	5.93998E-06	2.73759E-09	5.20857E-09
693	5.95237E-96	1.30799E-56	5.8992E-162	1.0037E-29	2.00935E-09	0.000144654	0.01845301	1.52588E-05	6.17204E-09	6.71677E-09
694	1.01928E-96	4.00623E-57	5.9452E-164	3.64955E-30	7.83146E-10	7.03096E-05	0.034915223	3.77165E-05	1.3679E-08	8.64693E-09
